0
-
ENSP00000011700.6
ENSP00000037502.5
ENSP00000054668.5
ENSP00000078527.4
ENSP00000164247.1
ENSP00000196061.4
ENSP00000207157.3
ENSP00000207457.3
ENSP00000212355.4
ENSP00000234488.9
ENSP00000234677.2
ENSP00000235310.2
ENSP00000235329.5
ENSP00000235345.5
ENSP00000235521.4
ENSP00000235790.4
ENSP00000235958.4
ENSP00000236040.4
ENSP00000236137.5
ENSP00000236255.4
ENSP00000236342.7
ENSP00000236918.8
ENSP00000236937.9
ENSP00000239461.6
ENSP00000240185.4
ENSP00000241704.7
ENSP00000245564.3
ENSP00000246337.4
ENSP00000247087.4
ENSP00000251157.6
ENSP00000251337.3
ENSP00000253251.8
ENSP00000254227.3
ENSP00000254521.3
ENSP00000255108.3
ENSP00000255409.3
ENSP00000256578.4
ENSP00000256592.1
ENSP00000256640.5
ENSP00000256646.2
ENSP00000256658.4
ENSP00000256785.4
ENSP00000257075.5
ENSP00000259154.2
ENSP00000260526.6
ENSP00000261443.5
ENSP00000261448.5
ENSP00000261458.3
ENSP00000261465.2
ENSP00000262340.5
ENSP00000262348.4
ENSP00000262450.3
ENSP00000262662.1
ENSP00000262746.1
ENSP00000262915.3
ENSP00000262916.6
ENSP00000263187.3
ENSP00000263440.5
ENSP00000263441.7
ENSP00000263702.6
ENSP00000263726.2
ENSP00000263741.8
ENSP00000263934.6
ENSP00000263946.3
ENSP00000263980.3
ENSP00000264126.3
ENSP00000264128.9
ENSP00000264144.4
ENSP00000264205.6
ENSP00000270722.5
ENSP00000271357.6
ENSP00000271450.6
ENSP00000271583.3
ENSP00000271588.4
ENSP00000271620.3
ENSP00000271628.8
ENSP00000271630.6
ENSP00000271643.4
ENSP00000271651.3
ENSP00000271715.2
ENSP00000271751.4
ENSP00000271850.7
ENSP00000271915.3
ENSP00000272134.5
ENSP00000272163.4
ENSP00000272167.5
ENSP00000272190.8
ENSP00000278878.6
ENSP00000281834.3
ENSP00000284476.6
ENSP00000286692.4
ENSP00000287482.5
ENSP00000287713.6
ENSP00000288774.3
ENSP00000288955.5
ENSP00000289877.8
ENSP00000290100.6
ENSP00000290167.5
ENSP00000290524.4
ENSP00000290541.6
ENSP00000290597.5
ENSP00000291358.6
ENSP00000292180.3
ENSP00000294339.3
ENSP00000294413.6
ENSP00000294489.6
ENSP00000294623.4
ENSP00000294635.4
ENSP00000294702.5
ENSP00000294724.4
ENSP00000294725.8
ENSP00000294732.7
ENSP00000294785.5
ENSP00000294816.2
ENSP00000294868.4
ENSP00000295294.7
ENSP00000295530.2
ENSP00000295566.4
ENSP00000295597.3
ENSP00000295598.5
ENSP00000296215.5
ENSP00000296218.7
ENSP00000296387.1
ENSP00000296388.5
ENSP00000302551.6
ENSP00000303208.5
ENSP00000303758.4
ENSP00000304401.8
ENSP00000304405.6
ENSP00000305913.4
ENSP00000305941.3
ENSP00000306522.6
ENSP00000306552.4
ENSP00000306782.7
ENSP00000306923.4
ENSP00000307107.5
ENSP00000307712.5
ENSP00000307887.6
ENSP00000307900.5
ENSP00000308367.7
ENSP00000308450.5
ENSP00000308535.3
ENSP00000309262.9
ENSP00000310111.9
ENSP00000310219.4
ENSP00000310800.3
ENSP00000311138.5
ENSP00000311185.4
ENSP00000311554.2
ENSP00000313129.3
ENSP00000313619.7
ENSP00000313705.5
ENSP00000313875.4
ENSP00000314223.4
ENSP00000314299.5
